epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,2280.35,0.50429,1.02228,0.66982,0.93367,0,0.8676,0.80543,0.87873,0.8234,0.86603,0.7998,0.87225,0.78331,0.32198,0.76056,1.48445,0.8251,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2820.38,0.50334,1.01669,0.66728,0.93155,0,0.86376,0.80674,0.87889,0.82423,0.86341,0.80121,0.87233,0.78388,0.32111,0.75971,1.48382,0.8244,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3362.46,0.50099,1.01426,0.66474,0.93239,0,0.86139,0.80905,0.87921,0.82452,0.86156,0.80172,0.87253,0.78422,0.3206,0.75828,1.49128,0.82403,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3896.7,0.49776,1.00706,0.65413,0.93048,0,0.86327,0.8071,0.87943,0.82475,0.86421,0.79933,0.87281,0.78452,0.31979,0.75792,1.48844,0.82391,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4442.98,0.4941,1.00508,0.65278,0.93012,0,0.86717,0.80485,0.87976,0.82523,0.86606,0.79913,0.87333,0.78526,0.31897,0.75674,1.48547,0.82341,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4981.21,0.49378,0.99329,0.64887,0.92834,0,0.8693,0.80189,0.8798,0.82574,0.86926,0.79709,0.87351,0.78546,0.31829,0.75515,1.48838,0.82324,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5521.46,0.49047,0.98809,0.64128,0.92712,0,0.87399,0.79982,0.87998,0.82608,0.87241,0.79554,0.87365,0.7858,0.31729,0.75513,1.48089,0.8229,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6060.22,0.49029,0.9959,0.63662,0.92711,0,0.87561,0.79887,0.88048,0.8266,0.87334,0.79434,0.874,0.78618,0.31652,0.75438,1.4771,0.82232,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6597.68,0.48791,0.98826,0.63374,0.92614,0,0.8749,0.80143,0.88076,0.82714,0.87417,0.79425,0.87434,0.78673,0.31614,0.75364,1.46411,0.82224,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7136.52,0.48587,0.98056,0.63063,0.92454,0,0.87503,0.8022,0.88117,0.82761,0.87328,0.79763,0.87477,0.78683,0.3156,0.75259,1.45074,0.82168,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7674.32,0.48381,0.97926,0.62459,0.92515,0,0.876,0.80278,0.88149,0.82787,0.87388,0.79809,0.87488,0.78717,0.31535,0.75154,1.43207,0.82157,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8211.71,0.48209,0.96924,0.62074,0.9221,0,0.87557,0.80412,0.88173,0.82859,0.87344,0.79876,0.87511,0.78777,0.31497,0.75023,1.40422,0.82142,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8751.33,0.48127,0.96575,0.61825,0.92261,0,0.87533,0.80474,0.88209,0.82898,0.87222,0.79996,0.87545,0.78834,0.31411,0.74972,1.39314,0.82047,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9288.32,0.48121,0.97438,0.61984,0.92387,0,0.87303,0.80819,0.88284,0.82975,0.87011,0.80278,0.87593,0.78871,0.31352,0.74862,1.38829,0.81987,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9824.81,0.48046,0.97181,0.61386,0.92327,0,0.87039,0.81213,0.88321,0.83043,0.87038,0.80441,0.87669,0.78941,0.31262,0.7486,1.37279,0.81936,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10364.1,0.47834,0.96988,0.61161,0.92058,0,0.87381,0.80991,0.8838,0.83093,0.86978,0.80537,0.87704,0.78994,0.31203,0.74864,1.35417,0.81912,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10901.2,0.47844,0.96154,0.61102,0.92187,0,0.8742,0.81089,0.88411,0.83134,0.87073,0.80533,0.87722,0.79017,0.31173,0.74742,1.33043,0.81887,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11437.1,0.4771,0.96522,0.60768,0.92185,0,0.87427,0.81131,0.88448,0.83165,0.87055,0.80721,0.87782,0.79092,0.31116,0.74698,1.32377,0.8184,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11974.3,0.47484,0.96565,0.60506,0.92168,0,0.87328,0.81449,0.88496,0.83219,0.86964,0.81008,0.87822,0.79124,0.31072,0.74656,1.32647,0.81819,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12511.8,0.47155,0.95365,0.59854,0.91933,0,0.87103,0.81641,0.88563,0.83284,0.86973,0.81027,0.87887,0.79189,0.31016,0.74551,1.30285,0.81791,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13048.5,0.47266,0.96192,0.59711,0.91894,0,0.87137,0.81855,0.88624,0.8335,0.86745,0.81402,0.87958,0.79234,0.30957,0.74542,1.29934,0.81755,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13583.6,0.46914,0.95426,0.59355,0.91886,0,0.871,0.81922,0.88645,0.83403,0.86816,0.81445,0.87984,0.79297,0.30888,0.74372,1.2891,0.81714,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14120.7,0.46914,0.94824,0.58942,0.9177,0,0.87214,0.8195,0.88689,0.83477,0.86866,0.81505,0.88042,0.79345,0.30842,0.74394,1.2898,0.81705,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14656.4,0.46746,0.95234,0.58849,0.91778,0,0.87267,0.82005,0.88722,0.8351,0.87004,0.81511,0.88091,0.7938,0.30773,0.74296,1.29782,0.81681,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15194.9,0.46617,0.94853,0.58129,0.91657,0,0.87351,0.81978,0.88757,0.83596,0.86962,0.81415,0.88115,0.79419,0.30731,0.74151,1.2816,0.81662,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15732.1,0.46387,0.93524,0.5784,0.91479,0,0.87487,0.81884,0.88805,0.8365,0.87092,0.81462,0.88163,0.79476,0.30684,0.74036,1.26439,0.81648,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16276.6,0.46393,0.93302,0.57536,0.9157,0,0.87469,0.8195,0.88855,0.83714,0.87129,0.81477,0.88154,0.79496,0.30639,0.74023,1.25188,0.81623,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16816.6,0.46453,0.94322,0.57373,0.91507,0,0.87514,0.82023,0.88849,0.83769,0.87232,0.81503,0.88172,0.79541,0.30594,0.73929,1.23648,0.81607,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17356.4,0.46227,0.93804,0.56956,0.91557,0,0.87461,0.8214,0.88896,0.83811,0.87346,0.81565,0.88218,0.79586,0.30548,0.73787,1.2298,0.81573,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
