epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,53233.4,0.6104,0.46169,0.00642,0.9157,0.87254,0.9187,0.8524,0.39922,0.38027,0.00476,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,53974.7,0.60843,0.45532,0.00638,0.91708,0.87057,0.91841,0.85244,0.39923,0.37676,0.00476,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,54712.2,0.60569,0.45049,0.00636,0.91771,0.87145,0.91849,0.85255,0.39882,0.37705,0.00476,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,55447.8,0.59943,0.44668,0.00631,0.91934,0.8697,0.9185,0.85291,0.39817,0.37805,0.00475,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,56182.7,0.59676,0.44091,0.00622,0.92065,0.86938,0.91865,0.85305,0.39792,0.37542,0.00475,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,56923.5,0.59476,0.43216,0.0062,0.92027,0.87042,0.9188,0.85317,0.39764,0.37555,0.00474,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,57665.2,0.58855,0.42965,0.0061,0.92013,0.87142,0.91865,0.85347,0.39753,0.37326,0.00475,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,58403.5,0.58527,0.41785,0.00612,0.92038,0.87182,0.9188,0.85347,0.39737,0.37307,0.00474,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,59145.3,0.58194,0.41663,0.00605,0.92113,0.87237,0.91911,0.85353,0.39633,0.37432,0.00473,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,59881.1,0.58029,0.40808,0.00603,0.92331,0.8711,0.919,0.85355,0.39554,0.37415,0.00472,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,60624.3,0.57842,0.40588,0.006,0.92233,0.87146,0.91714,0.85304,0.39572,0.37478,0.00473,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,61360.1,0.57276,0.40024,0.00594,0.92168,0.87173,0.91648,0.85249,0.39505,0.37481,0.00472,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,62097.7,0.56434,0.3932,0.00584,0.92086,0.87264,0.91636,0.85292,0.39483,0.37677,0.00472,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,62830.3,0.56458,0.38603,0.00585,0.92061,0.8731,0.91604,0.85299,0.39468,0.3762,0.00472,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,63565.3,0.55878,0.38242,0.00577,0.92108,0.87304,0.9172,0.85352,0.39452,0.37585,0.00472,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,64300.8,0.55421,0.37704,0.00576,0.92146,0.87279,0.91604,0.85287,0.39351,0.37561,0.0047,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,65034.1,0.54933,0.36917,0.00568,0.92237,0.87243,0.91737,0.85355,0.39357,0.37419,0.0047,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,65765.2,0.5443,0.36462,0.0056,0.92308,0.87179,0.91734,0.85392,0.393,0.37412,0.00469,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,66494.5,0.54139,0.36174,0.00557,0.92709,0.86837,0.91737,0.85401,0.39248,0.37423,0.00469,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,67236.2,0.40254,0.22731,0.00486,0.92878,0.86661,0.9172,0.85386,0.39208,0.37405,0.00469,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,67969.4,0.3971,0.21887,0.00477,0.92905,0.86704,0.9168,0.85346,0.39183,0.37536,0.00469,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,68705.8,0.39494,0.21363,0.00473,0.92785,0.86763,0.91538,0.85257,0.39192,0.37621,0.00469,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,69439.5,0.3873,0.20537,0.00461,0.92652,0.86903,0.91478,0.85239,0.39133,0.37936,0.00468,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,70174.1,0.38092,0.20047,0.00448,0.92354,0.8717,0.91464,0.8521,0.39074,0.38052,0.00467,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,70906.4,0.37423,0.19278,0.00441,0.92359,0.87185,0.91428,0.85185,0.39065,0.38145,0.00468,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,71638.6,0.36927,0.18806,0.00433,0.92772,0.86866,0.91408,0.8514,0.3907,0.38307,0.00468,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,72369.2,0.36685,0.18505,0.00427,0.92811,0.8686,0.91393,0.85161,0.3904,0.38413,0.00468,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,73100.1,0.36208,0.18051,0.00421,0.92687,0.8704,0.91266,0.85059,0.39046,0.38534,0.00468,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,73830.5,0.35543,0.17679,0.00414,0.92731,0.86999,0.91234,0.85065,0.39029,0.38645,0.00468,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
